date	prefix	url	message	context
2022-09-15	aspgd.protein	http://www.aspergillusgenome.org/cgi-bin/protein/proteinPage.pl?dbid=ASPL0000349247	ConnectTimeout	HTTPConnectionPool(host='www.aspergillusgenome.org', port=80): Max retries exceeded with url: /cgi-bin/protein/proteinPage.pl?dbid=ASPL0000349247 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11f9e7af0>, 'Connection to www.aspergillusgenome.org timed out. (connect timeout=15)'))
2022-09-15	atfdb.family	http://www.bioguo.org/AnimalTFDB/family.php?fam=CUT	HTTP 404	404
2022-09-15	atol	http://opendata.inra.fr/ATOL/ATOL_0002233	SSLError	HTTPSConnectionPool(host='opendata.inra.fr', port=443): Max retries exceeded with url: /ATOL/ATOL_0002233 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)')))
2022-09-15	bcio	https://w3id.org/BCI-ontology#040000	ConnectionError	HTTPConnectionPool(host='bci.pet.cs.nctu.edu.tw', port=80): Max retries exceeded with url: /ontology (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11f9e7310>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2022-09-15	bco	http://purl.obolibrary.org/obo/BCO_0000081	HTTP 404	404
2022-09-15	bcrc	https://catalog.bcrc.firdi.org.tw/BcrcContent?bid=60316	SSLError	HTTPSConnectionPool(host='catalog.bcrc.firdi.org.tw', port=443): Max retries exceeded with url: /BcrcContent?bid=60316 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))
2022-09-15	beetlebase	http://beetlebase.org/cgi-bin/gbrowse/BeetleBase3.gff3/?name=TC010103	ConnectTimeout	HTTPConnectionPool(host='beetlebase.org', port=80): Max retries exceeded with url: /cgi-bin/gbrowse/BeetleBase3.gff3/?name=TC010103 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11fa13c70>, 'Connection to beetlebase.org timed out. (connect timeout=15)'))
2022-09-15	biocarta.pathway	https://cgap.nci.nih.gov/Pathways/BioCarta/h_aktPathway	ConnectTimeout	HTTPSConnectionPool(host='cgap.nci.nih.gov', port=443): Max retries exceeded with url: /Pathways/BioCarta/h_aktPathway (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x11f9f4820>, 'Connection to cgap.nci.nih.gov timed out. (connect timeout=15)'))
2022-09-15	biocatalogue.service	https://www.biocatalogue.org/services/614	HTTP 403	403
2022-09-15	biominder	https://datalab.rwth-aachen.de/MINDER/resource/aef4c195-9cf9-46db-a12a-7cfd1ff3eec3	HTTP 502	502
2022-09-15	biomodels.db	https://www.ebi.ac.uk/biomodels/BIOMD0000000048	HTTP 415	415
2022-09-15	biomodels.kisao	https://www.biomodels.net/kisao/KISAO#KISAO_0000057	SSLError	"HTTPSConnectionPool(host='www.biomodels.net', port=443): Max retries exceeded with url: /kisao/KISAO (Caused by SSLError(CertificateError(""hostname 'www.biomodels.net' doesn't match either of 'www4.ebi.ac.uk', 'www.www4.ebi.ac.uk'"")))"
2022-09-15	biomodels.vocabulary	http://biomodels.net/rdf/vocabulary.rdf#rateRule	HTTP 404	404
2022-09-15	biosystems	https://www.ncbi.nlm.nih.gov/biosystems/001	HTTP 404	404
